sample_id,image_path,gt_mask_path,pred_mask_path,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy
driver_193_90frame_06060803_0795.MP4_05220,/shared/data/culane/driver_193_90frame/06060803_0795.MP4/05220.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060803_0795.MP4/05220.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060803_0795.MP4_05220.png,29759,24126,15392,898323,0.4295653680153586,0.6009733834156353,0.5522687204231234,0.6590994662355208,0.6590994662355208,0.6937140806943245,0.9591587432823481
driver_193_90frame_06060803_0795.MP4_05310,/shared/data/culane/driver_193_90frame/06060803_0795.MP4/05310.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060803_0795.MP4/05310.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060803_0795.MP4_05310.png,33611,13162,8909,911918,0.6036241514313423,0.7528249694819913,0.718598336647211,0.790475070555033,0.790475070555033,0.7899966260690479,0.9771899545266639
driver_193_90frame_06060806_0796.MP4_00000,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00000.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00000.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00000.png,29267,25524,14788,898021,0.42062978772330734,0.5921736843165243,0.5341570695917213,0.6643286800590171,0.6643286800590171,0.6888342467992569,0.9583381562629185
driver_193_90frame_06060806_0796.MP4_00090,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00090.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00090.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00090.png,12734,10963,33504,910399,0.2226184856908096,0.3641667262453517,0.5373675992741698,0.27540118517236906,0.27540118517236906,0.5880248238798117,0.9540440264572138
driver_193_90frame_06060806_0796.MP4_00180,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00180.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00180.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00180.png,38931,20645,5279,902745,0.6002775422095443,0.7502167922450931,0.6534678393984155,0.8805926261026917,0.8805926261026917,0.7861811608044391,0.9732079371641174
driver_193_90frame_06060806_0796.MP4_00270,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00270.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00270.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00270.png,37467,20414,6146,903573,0.585175004295063,0.7383096537721467,0.6473108619408787,0.8590787150620228,0.8590787150620228,0.7783099740950916,0.9725506407606449
driver_193_90frame_06060806_0796.MP4_00360,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00360.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00360.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00360.png,34302,16236,9347,907715,0.5727978625699257,0.7283807744163542,0.678736792116823,0.7858599280624986,0.7858599280624986,0.7726932338549888,0.9735603555188094
driver_193_90frame_06060806_0796.MP4_00450,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00450.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00450.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00450.png,41177,16914,2389,907120,0.6808366402116403,0.8101163717201,0.7088361364066723,0.9451636597346554,0.9451636597346554,0.8300002929195348,0.9800506407606449
driver_193_90frame_06060806_0796.MP4_00540,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00540.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00540.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00540.png,41574,14603,1811,909612,0.7169414361592054,0.8351379040191141,0.7400537586556776,0.9582574622565403,0.9582574622565403,0.8496081159496409,0.9830363786688714
driver_193_90frame_06060806_0796.MP4_00630,/shared/data/culane/driver_193_90frame/06060806_0796.MP4/00630.jpg,/shared/data/culane/laneseg_label_w16_test/driver_193_90frame/06060806_0796.MP4/00630.png,/home/karthikab/Projects/road-readiness-framework/outputs/scnn_full/masks/driver_193_90frame_06060806_0796.MP4_00630.png,40363,16631,3193,907413,0.6706265472610364,0.8028443560412791,0.7081973541074499,0.9266920745706676,0.9266920745706676,0.8246234499931957,0.9795121951219512
