dataset,sample_id,image_path,gt_mask_path,pred_mask_path,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy,tp_pixels,fp_pixels,fn_pixels,tn_pixels
culane,driver_100_30frame_05250523_0308.MP4_03900,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/03900.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/03900.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_03900.png,0.14478434353030592,0.25294605809106496,0.9980353634577601,0.14482562007032215,0.14482562007032215,0.5583707725950354,0.9720897064902853,4572,9,26997,936022
culane,driver_100_30frame_05250523_0308.MP4_03930,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/03930.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/03930.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_03930.png,0.14531700060139904,0.25375856732235097,0.9947995666305524,0.145427476321708,0.145427476321708,0.5586389013146049,0.9720938404299297,4591,24,26978,936007
culane,driver_100_30frame_05250523_0308.MP4_03960,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/03960.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/03960.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_03960.png,0.14650427080037962,0.25556689936789434,0.991224315068493,0.14669454211409927,0.14669454211409927,0.5592438962979964,0.9721176105828855,4631,41,26938,935990
culane,driver_100_30frame_05250523_0308.MP4_03990,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/03990.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/03990.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_03990.png,0.13863691340106435,0.2435138221310724,0.7531208935611037,0.14523741645284932,0.14523741645284932,0.5545279290348156,0.9705591153369161,4585,1503,26984,934528
culane,driver_100_30frame_05250523_0308.MP4_04020,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04020.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04020.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04020.png,0.14507706427825426,0.25339266465802357,0.9939288811795315,0.14520573980803952,0.14520573980803952,0.5585133238352152,0.9720824720959074,4584,28,26985,936003
culane,driver_100_30frame_05250523_0308.MP4_04050,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04050.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04050.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04050.png,0.13431123988892912,0.2368154967801048,0.7400631964077831,0.1409610694035288,0.1409610694035288,0.552265935056337,0.9703575857792476,4450,1563,27119,934468
culane,driver_100_30frame_05250523_0308.MP4_04080,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04080.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04080.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04080.png,0.1416451144893711,0.24814211122446414,0.9703975799481416,0.14225981184072983,0.14225981184072983,0.5566938345352103,0.9718737081438611,4491,137,27078,935894
culane,driver_100_30frame_05250523_0308.MP4_04110,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04110.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04110.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04110.png,0.14038228155339805,0.24620214435815282,0.7688600864074442,0.14656783553486014,0.14656783553486014,0.5554799287281784,0.9707182720132286,4627,1391,26942,934640
culane,driver_100_30frame_05250523_0308.MP4_04140,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04140.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04140.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04140.png,0.13955957291919438,0.2449359844550006,0.7668333333333333,0.14574424276980583,0.14574424276980583,0.5550513184134206,0.9706831335262505,4601,1399,26968,934632
culane,driver_100_30frame_05250523_0308.MP4_04170,/shared/data/culane/driver_100_30frame/05250523_0308.MP4/04170.jpg,/shared/data/culane/laneseg_label_w16_test/driver_100_30frame/05250523_0308.MP4/04170.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/driver_100_30frame_05250523_0308.MP4_04170.png,0.14091088387899384,0.24701470705539402,0.7698938992042439,0.14710633849662644,0.14710633849662644,0.555754354870098,0.970738941711451,4644,1388,26925,934643
