dataset,sample_id,image_path,gt_mask_path,pred_mask_path,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy,tp_pixels,fp_pixels,fn_pixels,tn_pixels
bdd100k_lane,b398327e-f873cb8b,/shared/data/bdd100k/images/val/b398327e-f873cb8b.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b398327e-f873cb8b.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b398327e-f873cb8b.png,0.058253340862036505,0.11009337483279383,0.0871585468882005,0.149408641081342,0.149408641081342,0.5236938764863006,0.9891417100694444,619,6483,3524,910974
bdd100k_lane,b398a52e-5d44ea66,/shared/data/bdd100k/images/val/b398a52e-5d44ea66.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b398a52e-5d44ea66.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b398a52e-5d44ea66.png,0.15497729402436386,0.26836422642401564,0.2576701821668264,0.2799843729652298,0.2799843729652298,0.57111364021464,0.9872797309027778,2150,6194,5529,907727
bdd100k_lane,b398e0fb-257cf424,/shared/data/bdd100k/images/val/b398e0fb-257cf424.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b398e0fb-257cf424.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b398e0fb-257cf424.png,0.08635858887844877,0.1589872621476714,0.12576191068540862,0.21607181021585806,0.21607181021585806,0.5373699701913787,0.9883940972222223,1011,7028,3668,909893
bdd100k_lane,b3990772-45bf6ad7,/shared/data/bdd100k/images/val/b3990772-45bf6ad7.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b3990772-45bf6ad7.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b3990772-45bf6ad7.png,0.26495391253186895,0.4189147286817578,0.29536510712724084,0.720149253731343,0.720149253731343,0.6304405509017341,0.9959331597222222,1351,3223,525,916501
bdd100k_lane,b3990aa9-4fb64582,/shared/data/bdd100k/images/val/b3990aa9-4fb64582.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b3990aa9-4fb64582.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b3990aa9-4fb64582.png,0.2014711892112791,0.3353741496594272,0.2473657802308078,0.5205913410770854,0.5205913410770854,0.5975501439964261,0.9936393229166667,1479,4500,1362,914259
bdd100k_lane,b3990aa9-8adaa51a,/shared/data/bdd100k/images/val/b3990aa9-8adaa51a.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b3990aa9-8adaa51a.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b3990aa9-8adaa51a.png,0.2496452894438138,0.39954584161178314,0.3316369804919423,0.5024271844660193,0.5024271844660193,0.6190622597449822,0.9885232204861111,3519,7092,3485,907504
bdd100k_lane,b39dd7ca-a740454f,/shared/data/bdd100k/images/val/b39dd7ca-a740454f.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b39dd7ca-a740454f.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b39dd7ca-a740454f.png,0.0,0.0,0.0,0.0,0.0,0.49677842881944445,0.9935568576388889,0,0,5938,915662
bdd100k_lane,b39e8c78-f02c29c6,/shared/data/bdd100k/images/val/b39e8c78-f02c29c6.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b39e8c78-f02c29c6.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b39e8c78-f02c29c6.png,0.06431219986626953,0.12085213318819128,0.173017170891251,0.09285588906441986,0.09285588906441986,0.5237952646860737,0.9832975260416666,1058,5057,10336,905149
bdd100k_lane,b39fe3cd-076e7ef7,/shared/data/bdd100k/images/val/b39fe3cd-076e7ef7.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b39fe3cd-076e7ef7.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b39fe3cd-076e7ef7.png,0.08540693252200368,0.15737311042104118,0.11289859235851765,0.25966303270564906,0.25966303270564906,0.5381330535609343,0.9908669704861112,786,6176,2241,912397
bdd100k_lane,b39fe3cd-12217985,/shared/data/bdd100k/images/val/b39fe3cd-12217985.jpg,/shared/data/bdd100k/ll_seg_annotations/val/b39fe3cd-12217985.png,/home/karthikab/Projects/road-readiness-framework/outputs/clrernet_full/masks/b39fe3cd-12217985.png,0.0,0.0,0.0,0.0,0.0,0.49535427517361114,0.9907085503472223,0,0,8563,913037
