model,dataset,split,num_images,skipped,lane_iou,lane_f1,lane_precision,lane_recall,lane_accuracy,lane_miou,pixel_accuracy
clrernet,tusimple,test,2782,0,0.13525656816906617,0.2382837007268999,0.802054212496284,0.13992750500266818,0.13992750500266818,0.5489924577134726,0.96294437221049
clrernet,culane,test,34680,0,0.1960811121672189,0.32787260023150855,0.8360504434172571,0.20392223221322947,0.20392223221322947,0.5843753262256364,0.9728505208608988
clrernet,curvelanes,valid,20000,0,0.13738263238070472,0.24157680708205934,0.801510785104632,0.14222127959337705,0.14222127959337705,0.5585076135192022,0.9796984481149186
clrernet,bdd100k_lane,val,10000,0,0.12315783970056444,0.2193063794722255,0.2524843341697224,0.19383526408056692,0.19383526408056692,0.5573904445560071,0.9916328940972222
