model,dataset,split,num_images,lane_iou,lane_f1,lane_precision,lane_recall,lane_miou,pixel_accuracy
scnn,tusimple,test,2782,0.5395961358987641,0.7009580282992635,0.6528580513250158,0.7567093550723786,0.7559935343263776,0.9732563051037423
scnn,culane,test,34680,0.4656308220846693,0.6353998770604525,0.597740080690402,0.6781241625855619,0.7198951983463795,0.9747285969685396
scnn,curvelanes,valid,20000,0.19995628776056706,0.33327261967756994,0.3537103941189308,0.3150676645275069,0.5855452727365358,0.9713410169181966
scnn,bdd100k_lane,val,10000,0.0628865189886786,0.11833157701212359,0.09530978770674893,0.15601701158645204,0.5243886869002963,0.9859042009548611
